,categories_en
22,"Plant-based foods and beverages,Plant-based foods,Fresh foods,Fruits and vegetables based foods,Fresh plant-based foods,Vegetables based foods,Fresh vegetables,Leaf vegetables,Leaf salads,fr:Mesclun"
23,"Beverages,Alcoholic beverages,Beers,Products sold before year 2000,Products sold in the 1990s"
24,"Groceries,Sauces,Pasta sauces,Tomato sauces,Arrabbiata sauces"
25,"Dairies,Cheeses,Cheeses from Switzerland,Thermised milk cheeses,fr:Vacherin,fr:Vacherin-fribourgeois"
26,Chilli-con-carne
27,"Plant-based foods and beverages,Plant-based foods,Groceries,Cereals and potatoes,Condiments,Cereals and their products,Seeds,Cereal grains,Spices,Flax seeds,Brown flax seeds"
28,"Terrine,fr:Terrines de canard,fr:Terrines de volailles,fr:Pates"
29,"Meats,Prepared meats,Pork,fr:Saucissons,fr:Saucissons-en-tranches"
30,"Desserts,Frozen foods,Frozen desserts,Ice creams and sorbets,Ice creams,Ice cream tubs,Pistachio ice cream tubs"
31,"Seafood,Fishes,Frozen foods,Frozen fishes,fr:Saumons-surgeles"
32,"Meals,Meals with meat,Microwave meals,Poultry meals,Meals with chicken,fr:Couscous préparés,fr:Plats préparés à faible teneur en matières grasses"
33,"Meats,Frozen foods,Meals,Poultries,Chickens,Meals with meat,Breaded products,Cooked chicken,Poultry meals,fr:Poulets panés,Chicken nuggets,Meals with chicken,fr:Produi"
34,"Dairies,Yogurts,Plain yogurts,fr:Yaourts-bulgares"
35,"Fresh foods,Meals,Fresh meals,fr:Encornets,fr:Marinade-de-poulpes-et-d-encornets,fr:Poulpes"
36,"Beverages,Non-Alcoholic beverages,Sugared beverages,fr:Panaches"
37,"Beverages,Waters,Non-sugared beverages,fr:Dranken,fr:Mineraalwaters,fr:Ongesuikerde-dranken"
38,"Beverages,Alcoholic beverages,Wines,French wines,Red wines,Bordeaux,White wines,fr:Pessac-Léognan"
39,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Pastas,Dry pasta,fr:Coquillettes,fr:Pates-seches-completes"
40,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Sugary snacks,Cereals and their products,Salty snacks,Seeds,Appetizers,Cereal grains,Corn,Popcorn"
41,"Fresh foods,Meals,Prepared vegetables,Fresh meals,Starters,fr:Salades composées,Cold starters,Cucumber salads,fr:Crudites"
42,"Plant-based foods and beverages,Plant-based foods,Groceries,Condiments,Dairies,Spices,Yogurts,Vanilla"
43,"Plant-based foods and beverages,Beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Plant-based beverages,Milk substitute,Plant milks,Cereal milks,Non-sugared beverages,Rice milks"
44,"Beverages,Carbonated drinks,Sodas,Sugared beverages,Aliments-et-boissons-a-base-de-vegetaux,Boissons,Boissons-aux-fruits,Boissons-gazeuses,Boissons-sucrees,Boissons-a-base-de-vegetaux,Sodas-aux-fruits,Sodas-a-l-orange"
45,Fresh-cucumbers
46,"Meals,Meals with meat,Refrigerated foods,Refrigerated meals,fr:Salades composées,Pork meals,fr:Salades-de-cervelas"
47,"Seafood,Fishes,Fish fillets,Tunas,Tuna fillets,Tuna-fillets-in-olive-oil"
48,"Dairies,Yogurts,Low-fat yogurts"
49,"Spreads,Breakfasts,Sweet spreads,Bee products,Farming products,Sweeteners,Honeys,Chestnut honey,fr:Miels crémeux"
50,"Groceries,Condiments,Salts,Sea salts,fr:Sels fins,fr:Sels-iodes"
51,es:Conchas
52,"Fresh foods,Salty snacks,Appetizers"
53,"Beverages,Artificially sweetened beverages,Syrups,Flavoured syrups,Non-sugared beverages,Sugared beverages"
54,"Dairies,Yogurts,Fruit stirred yogurts,Stirred yogurts"
55,"Salty snacks,Appetizers,fr:Sticks"
56,"Plant-based foods and beverages,Plant-based foods,Fresh foods,Fruits and vegetables based foods,Fresh plant-based foods,Vegetables based foods,Fresh vegetables,fr:Carottes-rapees-a-assaisonner"
57,fr:Cremes-de-coco
58,"Plant-based foods and beverages,Beverages,Plant-based beverages,Fruit-based beverages,Juices and nectars,Fruit juices and nectars,Fruit juices,Apple juices,Apple-juice-from-concentrate,Non-Alcoholic beverages"
59,"Plant-based foods and beverages,Plant-based foods,Fresh foods,Fresh plant-based foods,Dried products,Dried plant-based foods,Mushrooms and their products,Mushrooms,Dried mushrooms"
60,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,fr:Boulangerie"
61,"Meats,Poultries,Turkeys,Turkey cutlets,fr:Escalope-de-dinde-a-la-milanaise"
62,"Beverages,Carbonated drinks,Waters,Mineral waters,Carbonated waters,Natural mineral waters,Carbonated natural mineral waters,Non-sugared beverages,ru:Вода-минеральная-питьевая-лечебно-столовая-газированная-природная"
63,"Sugary snacks,Chocolates,Dark chocolates,fr:Chocolats diététiques"
64,"Frozen foods,Crêpes and galettes,Crêpes"
65,"Beverages,Syrups,Flavoured syrups,Non-sugared beverages,fr:Sirops-de-banane"
66,"Plant-based foods and beverages,Beverages,Hot beverages,Plant-based beverages,Herbal teas,Teas,Non-sugared beverages,Rooibos-red-bush-tea,Rooibos-tea"
67,fr:Blancs-d-oeufs
68,de:Braune-linsen
69,"Sugary snacks,Biscuits and cakes,Desserts,Cakes,fr:Nonettes"
70,"Fresh foods,Labeled products,Farming products,Bird eggs,Eggs,Labeled eggs,fr:Oeufs labellisés biologiques"
71,"Beverages,Alcoholic beverages,Beers,Ale,Belgian-ale"
72,"Beverages,Alcoholic beverages,Artisan products,Beers,Beers with fruits,Artisanal spirits,Craft beers,French beers,Organic beers"
73,"Frozen foods,Meals,Frozen ready-made meals,fr:Plats-a-base-de-pates"
74,fr:Aides-a-la-patisserie
75,ru:Огурцы-малосольные
76,"Fish and meat and eggs,Meals,Offals,Gizzards,Duck gizzards"
77,es:Levadura
78,"Dairies,fr:Cappuccino"
79,"Dairies,Yogurts,Fruit yogurts,fr:Yaourts-au-lait-entier-sucre"
80,"Meats,Meals,Beef,Meals with meat,Beef dishes,fr:Boulettes"
81,"Meals,Microwave meals,Refrigerated foods,Refrigerated meals,fr:Focaccias"
82,"Fresh foods,Dairies,Milks,Fresh milks,fr:Laits-fermentes"
83,"Meats,Spreads,Prepared meats,Salted spreads,Rillettes,Potted meats,White meat rillettes,fr:Rillettes de volaille,Chicken rillettes,de:Rillettes-de-volaille"
84,"Beverages,Alcoholic beverages,Wines,White wines,Dessert wines"
85,"Fresh foods,Meals,Fresh meals,Fried foods,fr:Nems,fr:Nems au porc"
86,"Plant-based foods and beverages,Plant-based foods,Groceries,Condiments,Spices,Cumin,fr:Cumin-moulu"
87,"Fresh foods,Meals,Meals with meat,Microwave meals,Beef dishes,Fresh meals,fr:Tajines,fr:Tajines-de-boeuf"
88,"Dairies,Desserts,Non-dairy desserts,Yogurts,Non-dairy yogurts,Soy desserts,Fruit yogurts,Soy milk yogurts,Peach yogurts"
89,"Beverages,Carbonated drinks,Non-Alcoholic beverages,Non-sugared beverages"
90,"Dairies,Cheeses,Cow Cheeses,French cheeses,Unpasteurised cheeses,fr:Reblochons"
91,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Flours,Cereal flours,Cornmeal,fr:Polenta"
92,"Meals,Baby foods,fr:Purées,From 6 months,Main meals for babies"
93,"Meals,Meals with meat,Poultry meals,fr:Coq au vin"
94,"Canned foods,Meals,Meals with meat,Beef dishes,Canned meals,fr:Boeuf-aux-lentilles"
95,"Plant-based foods and beverages,Plant-based foods,Groceries,Condiments,Culinary plants,Aromatic plants,Dried products,Aromatic herbs,Dried plant-based foods,Ground dried aromatic plants,Ground dried tarragon,Tarragon"
96,"Dairies,Labeled products,Cheeses,AOC Products,fr:Fromages labéllisés,AOC cheeses,fr:Laits-de-chevres"
97,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Spreads,Breakfasts,Fruits based foods,Plant-based spreads,Sweet spreads,Fruit preserves,Jams,Fruit jams,Berry jams,Blackberry jams"
98,"Beverages,Alcoholic beverages,Wines,Wines from Luxembourg,fr:Moselle Luxembourgeoise"
99,"Groceries,Sauces,fr:Rouilles"
100,"Meats,Beef,fr:Boeufs-seches,fr:Viandes-sechees"
101,"Meals,Microwave meals,Meals with fish,Prepared lasagne,Frozen lasagne"
102,"Sugary snacks,Biscuits and cakes,Desserts,Cakes,Chocolate cakes,fr:Préparations pour gâteaux,fr:Moelleux-au-chocolat"
103,"Dairies,Yogurts,Fruit yogurts,Fruit stirred yogurts,Mango yogurts,Stirred yogurts,Vanilla yogurt"
104,de:Mate
105,"Sugary snacks,Toaster-pastries"
106,"Food additives,Baker's yeast,fr:Levures-liquides"
107,"Plant-based foods and beverages,Plant-based foods,Groceries,Condiments,Culinary plants,Grated horseradish,fr:Raifort"
108,"Plant-based foods and beverages,Beverages,Plant-based beverages,Fruit-based beverages,Juices and nectars,Fruit juices and nectars,Fruit juices,Squeezed juices,Non-Alcoholic beverages"
109,"Plant-based foods and beverages,Plant-based foods,Fresh foods,Fruits and vegetables based foods,Fresh plant-based foods,Vegetables based foods,Fresh vegetables,Potatoes,fr:Pommes-de-terre-a-frire"
110,"Dairies,Milks,Baby foods,Baby milks,From 10 months,fr:Laits de croissance"
111,"Beverages,Artificially sweetened beverages,Coffee drinks"
112,"Plant-based foods and beverages,Plant-based foods,Fresh foods,Cereals and potatoes,Cereals and their products,Meals,Pastas,Stuffed Pastas,Fresh meals,Ravioli,Fresh pasta,fr:Raviolis frais,fr:Ravioles,fr:Ravioles-du-dauphine"
113,"Meals,fr:Salades composées,Tuna salad,fr:Salades piémontaises,fr:Piemontaise-au-thon"
114,"Sugary snacks,Biscuits and cakes,Desserts,Cakes,Chocolate cakes,fr:Préparations pour gâteaux"
115,"Desserts,Frozen foods,Frozen desserts,Ice creams and sorbets,Ice creams,Ice cream tubs,fr:Creme-glacee-vanille-amandes-caramelisees"
116,"Dairies,Milks,Yogurts,Drinkable yogurts,Flavoured yogurts,Sweetened yogurts"
117,"Frozen foods,fr:Entrées et snacks surgelés,fr:Galettes-fourrees"
118,"Beverages,Sweeteners,Syrups,Simple syrups,Agave syrups,Non-sugared beverages"
119,"Plant-based foods and beverages,Plant-based foods,Seafood,Seaweeds and their products,Wakame seaweeds"
120,"fr:Bouchees,fr:Feuilletes"
121,"Dairies,Yogurts,Fruit yogurts,Raspberry yogurts,fr:Yaourts au lait de chèvre"
122,"Beverages,Alcoholic beverages,Beers,fr:Bieres-anglaises,fr:Bieres-de-caractere"
123,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods,Tomatoes and tomato products,ru:Консервированные-томаты,ru:Протертая-мякоть-томатов"
124,Oatcakes
125,fr:Draget
126,"Meals,Microwave meals,Fresh-salads"
127,"Beverages,Artificially sweetened beverages,Dried products,Iced teas,fr:Powder-for-lemon-ice-teas"
128,"Frozen foods,Meals,Prepared vegetables,Frozen ready-made meals,fr:Ratatouilles"
129,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Fruits based foods,Dried products,Dried plant-based foods,Dried fruits,Dried apples"
130,it:Pomodoro
131,"Plant-based foods and beverages,Beverages,Plant-based foods,Groceries,Condiments,Hot beverages,Plant-based beverages,Herbal teas,Spices,Coriander products,Coriander seeds,Non-sugared beverages"
132,"Deep-fried,Indian,Savory-snack"
133,"Fresh foods,Meats,Pork,Fresh meats"
134,"Sugary snacks,Biscuits and cakes,Pastries,Chocolate eclairs,Coffee eclairs,fr:Éclairs"
135,"Spreads,Breakfasts,Sweet spreads,Bee products,Farming products,Sweeteners,Honeys,fr:Miels réputés,fr:Miels de romarin,fr:Miels liquides,fr:Miels-espagnols"
136,"Plant-based foods and beverages,Plant-based foods,Groceries,Condiments,Spices,fr:Aides-culinaires"
137,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods,Frozen foods,Frozen plant-based foods,Frozen vegetables,Frozen asparagus,Frozen green asparagus"
138,"Sugary snacks,Confectioneries,Chocolates,Milk chocolates"
139,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Legumes,Seeds,Legume seeds,Pulses,Black-eyed peas"
140,"Meats,Prepared meats,Sausages,Bratwurst-sausages"
141,"Plant-based foods and beverages,Plant-based foods,Groceries,Condiments,Sugary snacks,Confectioneries,Culinary plants,Aromatic plants,Candies,Aromatic herbs,Mint,Gum-and-mints"
142,"Sugary snacks,Chocolates,Milk chocolates,fr:Tablettes-de-chocolat"
143,"Sugary snacks,Biscuits and cakes,Biscuits,fr:Biscuits secs,fr:Palets"
144,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Flours,Cereal flours,Bread flours,Wheat flours,Wheat bread flour,ru:Мука-пшеничная-хлебопекарная-сорт-экстра-гост-р-52189-2003"
145,"Beverages,Alcoholic beverages,Beers,ru:Пиво-светлое-пастеризованное-фильтрованное"
146,"Sugary snacks,Biscuits and cakes,Biscuits,fr:Biscuits secs,fr:Biscuits-au-lait,fr:Biscuits-au-yaourt,fr:Biscuits-italiens"
147,"Sugary snacks,Confectioneries,Chocolates,Bars,Dietary supplements,Bodybuilding supplements,Chocolate bars,Energy bars,Carob,Chocolate-chips"
148,"Desserts,Frozen foods,Frozen desserts,Ice creams and sorbets,Plant-based ice creams,Plant-based ice cream bars,es:Polos de leche de soja recubiertos con chocolate"
149,fr:Chappatis
150,"Fresh foods,Meals,Breaded products,Breaded fish,Fresh meals"
151,"Meals,Meals with meat,Microwave meals,Poultry meals,Duck dishes,Duck confit"
152,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Pastas,Dry pasta,fr:Pâtes seches aromatisées et colorées"
153,"Beverages,Hot beverages,Coffees,Ground coffees,Non-sugared beverages,fr:Cafe-arabica"
154,"Dairies,Milks,Non-homogenized milks,Fresh milks,de:Traditionell hergestellte Frischmilch,Whole milks"
155,"Beverages,Carbonated drinks,Waters,Mineral waters,Carbonated waters,Carbonated mineral waters,Flavored waters,Sugared beverages"
156,"Plant-based foods and beverages,Plant-based foods,Meals,Plant-based meals,Refrigerated foods,Refrigerated meals,es:Pistos,es:Pistos-refrigerados"
157,"Plant-based foods and beverages,Beverages,Fresh foods,Plant-based beverages,Fruit-based beverages,Juices and nectars,Fruit juices and nectars,Fruit juices,Grapefruit juices,Squeezed juices,Squeezed grapefruit juices,fr:Jus de pamplemousse rose,Non-Alcoholic beverages"
158,"Dairies,Cheeses,Cow Cheeses,French cheeses,Soft cheeses with washed rind,Pasteurized cheeses,fr:Epoisses"
159,"Meats,Pork,Pork belly,fr:Poitrines-fumees"
160,"de:Chocolats,de:Chocolats-noirs,de:Snacks-sucres"
161,"Sugary snacks,Desserts,Chocolates,Dark chocolates,fr:Chocolats noirs extra fin"
162,"Beverages,Hot beverages,Coffees,Instant hot beverages,Instant coffees,Non-sugared beverages,fr:Preparations-pour-boissons"
163,"Meats,Prepared meats,fr:Filets-mignons"
164,"Plant-based foods and beverages,Plant-based foods,Sugary snacks,Confectioneries,Christmas foods and drinks,Dried products,Christmas sweets,Dried plant-based foods,es:Panes-de-albaricoque,es:Panes-de-frutas-desecadas"
165,"Fresh foods,Dairies,Yogurts,Fruit yogurts,Strawberry yogurts"
166,"Sugary snacks,Biscuits and cakes,Biscuits,Crêpes and galettes,Galettes,fr:Biscuits secs,fr:Biscuits-au-beurre,fr:Galettes-au-beurre"
167,"Dairies,Yogurts,Greek yogurts,Honey yogurts"
168,"Plant-based foods and beverages,Plant-based foods,Salty snacks,Appetizers,Chips and fries,Crisps,Fried foods,Fried plant-based foods,es:Chips-de-verduras-y-hortalizas-fritas,es:Mezclas-de-chips-de-verduras-y-hortalizas-fritas,es:Verduras-y-hortalizas-fritas"
169,ar:Hummos
170,"fr:Feuilles-de-brick,fr:Pour-gateaux"
171,"Fruit-bread,Raisin-bread"
172,"Sugary snacks,Confectioneries,Bars,Chocolate bars,fr:Barres aux fruits"
173,"Meats,Frozen foods,Meals,Poultries,Chickens,Cooked chicken,Frozen ready-made meals,Chicken curry"
174,"Pies,Steak-and-ale-pies"
175,"Plant-based foods and beverages,Plant-based foods,Groceries,Condiments,Spices,Peppers,Peppercorns,Black peppers,Black peppercorns,Seasonings"
176,"Beverages,Alcoholic beverages,Wines,French wines,White wines,fr:Côtes Catalanes,fr:Muscat-sec"
177,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Canned foods,Vegetables based foods,Canned plant-based foods,Canned vegetables,Vegetable-based foods and beverages,Tomatoes and tomato products,Canned tomatoes,Vegetable-based foods"
178,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Pastas,Dry pasta,fr:Vermicelles-au-ble-dur"
179,Snow-peas
180,"Meats,Prepared meats,fr:Pates-en-croute"
181,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Pastas,fr:Feculent,fr:Pates"
182,"Groceries,Sauces,fr:Sauces-americaines"
183,"Meals,fr:Pates-cuisinees"
184,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Pastas,Dry pasta,Noodles,Wheat pasta,Durum wheat pasta,Egg noodles,Durum wheat spaghetti,Egg spaghetti,fr:Pâtes aux oeufs"
185,"Plant-based foods and beverages,Beverages,Plant-based beverages,Fruit-based beverages,Juices and nectars,Fruit juices and nectars,Fruit nectars,Multifruit nectars,Non-sugared beverages,ru:Нектар-персиково-яблочный-с-мякотью-для-детского-питания-продукт-предназначен-для-питания-детей-дошкольного-возраста-старше-3-х-лет-гомогенизированный,Non-Alcoholic beverages"
186,"Meats,Steaks,Ground steaks,Veal meat"
187,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Canned foods,Vegetables based foods,Canned plant-based foods,Canned vegetables,Meals,Soups"
188,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Seeds,Cereal grains,Meals,Prepared vegetables,Quinoa"
189,"Dairies,Cheeses,Yogurts,Sheep's milk yogurts,fr:Fromages blancs"
190,"Sugary snacks,Biscuits and cakes,Biscuits,Products without gluten,Chocolate biscuits,Gluten-free biscuits"
191,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Legumes and their products,Vegetables based foods,Meat analogues,Tofu"
192,"Meats,Poultries,Chickens,Breaded products"
193,"Fresh foods,Dairies,Desserts,Non-dairy desserts,Yogurts,Non-dairy yogurts,Soy desserts,Fruit yogurts,Soy milk yogurts,Fruit soy yogurts,Figs yogurts,fr:Yaourts-de-soja-aux-figues"
194,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Canned foods,Vegetables based foods,Canned plant-based foods,Canned vegetables,Tomatoes and tomato products,Canned tomatoes,fr:Tomates-concassees"
195,fr:Ravioles-du-dauphine
196,"Sugary snacks,Biscuits and cakes,Desserts,Cakes,fr:Genoises,fr:Roules-a-la-fraise"
197,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Pastas,Dry pasta,fr:Penne rigate"
198,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Labeled products,Pastas,Dry pasta,fr:Coquillettes,fr:Pâtes d'Alsace,fr:Coquillettes-aux-oeufs,fr:Coquillettes-d-alsace,fr:Pates-seches-aux-oeufs"
199,"Canned foods,Seafood,Fishes,Canned fishes,Smoked fishes,Canned herrings,Herring,Smoked herrings,fr:Filets-de-harengs"
200,"Sugary snacks,Chocolates,fr:Chocolats-de-menage"
201,"Sugary snacks,Biscuits and cakes,Biscuits,fr:Sablés,Gluten-free biscuits"
202,"Frozen foods,Meals,Frozen ready-made meals,fr:Feuillettes"
203,"Sugary snacks,Desserts,Chocolates,Chocolate desserts,fr:Mousses au chocolat,fr:Dessert-au-lait-de-soja,fr:Dessert-vegetal,fr:Mousse-au-chocolat-vegetale"
204,"Dairies,Desserts,Cheeses,fr:Fromages blancs"
205,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Pastas,Dry pasta,Wheat pasta,fr:Macaroni"
206,fr:Levures-chimiques
207,fr:Soja-jaune-en-grain
208,"Sugary snacks,Biscuits and cakes,Biscuits,Chocolate biscuits,es:Palmeritas,es:Palmeritas-de-chocolate"
209,"Sugary snacks,Confectioneries,Caramels,ru:Карамель-леденцовая-монпансье"
210,"Beverages,Hot beverages,Coffees,Non-sugared beverages,fr:Cafe-torrefie-moulu"
211,fr:Donut
212,"Fresh foods,Spreads,Salted spreads,Seafood,Fishes,Meals,Tunas,Fresh meals,fr:Preparations-a-tartiner-a-base-de-poisson,fr:Salades-a-tartiner"
213,"Farming products,Bird eggs,Eggs,Duck-eggs"
214,"Frozen foods,Salty snacks,Appetizers"
215,"Beverages,Alcoholic beverages,Wines,Red wines,Wines from Spain,Rioja,Spanish-red-wine"
216,"Crêpes and galettes,Galettes,Wheat-tortillas"
217,"Sugary snacks,Bars,Cereal bars,Granola bars,Sugary-sancks"
218,"Dairies,Milks,fr:Laits-cailles"
219,"Beverages,Alcoholic beverages,Wines,French wines,fr:Coteaux d'Aix-en-Provence"
220,"Fresh foods,Meats,Beef,Fresh meats,Steaks,Beef steaks,Ground steaks,Fresh ground beef steaks,Fresh ground steaks,Ground beef steaks,fr:Boeuf-hache"
221,"Sugary snacks,Chocolates,es:Virutas-de-chocolate-negro"
222,"Meals,Microwave meals,fr:Céréales préparées,fr:Plats préparés à faible teneur en matières grasses,fr:Riz préparés"
223,"Meals,Meals with meat,Refrigerated foods,Refrigerated meals,fr:Salades composées,Pork meals"
224,it:Aperifitf
225,"Sugary snacks,Bars,de:Barre-fruitee,de:Encas,de:Snack"
226,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Meals,Pastas,Dry pasta,Plant-based meals,Wheat pasta,Durum wheat pasta,fr:Gnocchis"
227,"Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Canned foods,Legumes and their products,Vegetables based foods,Canned plant-based foods,Legumes,Seeds,Canned vegetables,Legume seeds,Vegetable-based foods and beverages,Pulses,Canned legumes,Canned peas,Peas,Vegetable-based foods"
228,"Produits-ssans-gluten,Pates-alimentaires"
229,"Meats,Spreads,Prepared meats,Salted spreads,Seafood,Savory mousses,fr:Mousses-de-saint-jacques"
230,"Canned foods,Meals,Meals with meat,Poultry meals,Canned meals,Meals with chicken,fr:Poulet basquaise"
231,"Beverages,Alcoholic beverages,Beers,Abbey beer,Belgian beers"
232,Mango-chutney
233,"Seafood,Fishes,Fish fillets,Iridescent shark fillets"
234,"Groceries,Dried products,Broths,Dried products to be rehydrated,Dehydrated broths,Bouillon cubes,fr:Aides-culinaires,fr:Bouillons-de-pot-au-feu"
235,"Beverages,Alcoholic beverages,Beers,Strong beers,Triples"
236,"Seafood,Fishes,Sardines,Fish fillets,Mackerels,Mackerels fillets"
237,"Spreads,Breakfasts,Sweet spreads,Bee products,Farming products,Sweeteners,Honeys,fr:Miels de tilleul"
238,"Desserts,fr:Beignets,fr:Beignets-sucres"
239,"Sugary snacks,Biscuits and cakes,Biscuits,fr:Biscuits-fourres-vanille"
240,"Plant-based foods and beverages,Beverages,Plant-based foods,Hot beverages,Plant-based beverages,Herbal teas,Fruit teas,Non-sugared beverages,Red fruit teas"
241,"Canned foods,Meals,Prepared vegetables,Canned meals,Grated carrots"
242,"Beverages,Alcoholic beverages,Wines,Sparkling wines,Champagne,fr:Vins pétillant,fr:Champagnes-extra-brut"
243,"Beverages,Alcoholic beverages,Wines,White wines,Wines from Germany,de:Baden"
244,"Sugary snacks,Biscuits and cakes,Biscuits,Chocolate biscuits,Cookies,Chocolate cookies,Cookies with milk chocolate"
245,"Spreads,Breakfasts,Sugary snacks,Confectioneries,Sweet spreads,fr:Pâtes à tartiner,Caramels,Caramel spreads,Liquid caramel,fr:Caramels au beurre salé"
246,"Fresh foods,Dairies,Desserts,Yogurts,Flavoured yogurts,Low-fat yogurts,fr:Yaourts-fraises-des-bois"
247,"Groceries,Condiments,Salts,fr:Sels fins,fr:Sels-fluores,fr:Sels-iodes"
248,"Sugary snacks,Biscuits and cakes,Pies,Biscuits,Tartlets,Strawberry biscuits,Strawberry tartlets,fr:Biscuits sablés"
249,"Sugary snacks,Dairies,Desserts,Chocolates,Dairy desserts,Chocolate desserts,fr:Cremes-lactees"
250,"Plant-based foods and beverages,Plant-based foods,Canned foods,Legumes and their products,Canned plant-based foods,Canned legumes,Canned common beans,ru:Консервы-из-фасоли-стерилизованные-фасоль-в-томатном-соусе-белая"
251,Chow-mein
252,es:Avec
253,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Flours,Cereal flours,Wheat flours,Self-raising-flours"
254,"fr:Tarte-aux-tomates-cerises,fr:Tarte-aux-tomates-cerises-et-au-fromage-frais"
255,Fromage-a-pate-dure
256,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Meals,Microwave meals,Plant-based meals,fr:Céréales préparées,es:Quinoa-precocinada"
257,"Plant-based foods and beverages,Plant-based foods,Fresh foods,Fruits and vegetables based foods,Groceries,Condiments,Fresh plant-based foods,Vegetables based foods,Culinary plants,Fresh vegetables,Onions and their products,Onions,Red-onions"
258,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Meals,Meals with meat,Microwave meals,Pastas,Tagliatelle,Pork meals,Tagliatelle Carbonara"
259,"Sugary snacks,Biscuits and cakes,Desserts,Biscuits"
260,"Meats,Prepared meats,Pork,Pork belly"
261,"Sugary snacks,Confectioneries,fr:Reglisses-sales"
262,"Salty snacks,Appetizers,Crackers,Pita-chips"
